id,username,created_at,lng,lat,text
1517618685560561664,tmj_hsv_nursing,Fri Apr 22 21:37:45 +0000 2022,-86.5861037,34.7303688,"Want to work at Fresenius Medical Care? We're hiring in #Huntsville, AL! Click for details: https://t.co/rVDQw9z6wD #RN"
1517618684931579905,Mutiny32,Fri Apr 22 21:37:45 +0000 2022,-94.269116,38.9331445,"Me, when seeing Trump vs DeSantis https://t.co/kN0iEeyEzT"
1517618685891923968,tmj_LAA_NURSING,Fri Apr 22 21:37:45 +0000 2022,-92.4451371,31.3112936,"Click the link in our bio to see currently open Nursing jobs like ""Registered Nurse - Surgical ICU PRN"" at Rapides… https://t.co/DR4l8vPj4a"
1517618685958971395,tmj_rip_transp,Fri Apr 22 21:37:45 +0000 2022,-71.4596201,41.8131441,"This job might be a great fit for you: Monitor - https://t.co/HRyN2qOx9h #Transportation #Providence, RI"
1517618685971628033,tmj_mia_util,Fri Apr 22 21:37:45 +0000 2022,-80.4326521,25.9839048,"Want to work at Cintas Corporation? We're hiring in #Hollywood, FL! Click for details https://t.co/qlBjZEwdTX #cintasjobs"
1517618686357426176,karenhelenz11,Fri Apr 22 21:37:45 +0000 2022,-119.03434899999999,34.225327500000006,"Oh, wishing that sentiment can flower and bear fruit! It's way past time!"
1517618685107703810,stpetepride,Fri Apr 22 21:37:45 +0000 2022,-82.67290299999999,27.7957195,"The countdown to St Pete Pride is on! Join us during the month of June for performances by Carson Kressley, Sandra… https://t.co/4MHG2NPdDX"
1517618686399598592,PrinceJauan,Fri Apr 22 21:37:45 +0000 2022,-84.433106,33.7671945,Fine w/ a Fresh Cut Friday 💎 https://t.co/idIK0YjNFw
1517618689478209538,littytittykenzi,Fri Apr 22 21:37:46 +0000 2022,-82.985772,39.9946835,@nyyjae BUT WHEN WE SKATING TOGETHER THO🥺😭
1517618689515966464,Reported_NYC,Fri Apr 22 21:37:46 +0000 2022,-73.860851,40.8876774,TOYOTA Highlander driver CWV1764 blocked the bike lane near 3961 White Plains Rd on April 22. This is in Bronx Comm… https://t.co/dA7Jlq9Zhz
1517618690652471296,BastropISDHR,Fri Apr 22 21:37:46 +0000 2022,-97.3103262,30.1177369,"If you're looking for work in #Bastrop, TX, check out this job: https://t.co/YHtJetpSOt #ATXjobs"
